"","x1","x2"
"321",1696,0.000995382382379397
"322",1695,0.00102622331864056
"323",1694,0.00103568093029392
"324",1693,0.00104517103807762
"325",1692,0.00105469267626038
"326",1691,0.00106424486194273
"327",1690,0.0010738265952243
"328",1689,0.00107388631081342
"329",1688,0.00107394683258993
"330",1687,0.00107400815885157
"331",1686,0.00107407028787393
"332",1685,0.00107413321791045
"333",1684,0.00107249201157946
"334",1683,0.00107085200050578
"335",1682,0.00106921320046154
"336",1681,0.00106757562714842
"337",1680,0.00106593929619728
"338",1679,0.00106424486194273
"339",1678,0.00106255378303448
"340",1677,0.00106086611492383
"341",1676,0.00105918191253631
"342",1675,0.00105750123026732
"343",1674,0.00105755464622192
"344",1673,0.0010576089145648
"345",1672,0.00105766403380992
"346",1671,0.00105772000244828
"347",1670,0.00105777681894801
"348",1669,0.00105463461924319
"349",1668,0.0010514959660589
"350",1667,0.00104836088334019
"351",1666,0.00104522939490191
"352",1665,0.00104210152442859
"353",1664,0.00103429783109406
"354",1663,0.00102651726135509
"355",1662,0.00101876017455767
"356",1661,0.00101102692492417
"357",1660,0.00100331786154351
"358",1659,0.000992501933401749
"359",1658,0.000981733607882594
"360",1657,0.000971013926167142
"361",1656,0.000960343907322404
"362",1655,0.000949724548223283
"363",1654,0.000939354834549869
"364",1653,0.000929046909994807
"365",1652,0.000918801613949033
"366",1651,0.000908619756145421
"367",1650,0.000898502116804714
"368",1649,0.00088982234558423
"369",1648,0.000881187299943906
"370",1647,0.000872597401145862
"371",1646,0.000864053058215606
"372",1645,0.000855554667993351
"373",1644,0.00085118680928873
"374",1643,0.000846830205518607
"375",1642,0.000842484942106543
"376",1641,0.000838151103332527
"377",1640,0.000833828772332256
"378",1639,0.000832248275892188
"379",1638,0.000830673350246389
"380",1637,0.000829104034842256
"381",1636,0.000827540368532742
"382",1635,0.000825982389574969
"383",1634,0.000830354713626474
"384",1633,0.000834741793310139
"385",1632,0.000839143476151739
"386",1631,0.000843559606806658
"387",1630,0.000847990027064286
"388",1629,0.000855116505278155
"389",1628,0.000862273238197402
"390",1627,0.000869459985043552
"391",1626,0.000876676499919684
"392",1625,0.000883922531801712
"393",1624,0.000889740437585355
"394",1623,0.000895576936886958
"395",1622,0.000901431894075514
"396",1621,0.000907305171409829
"397",1620,0.000913196629036903
"398",1619,0.000923472724569077
"399",1618,0.000933806600239656
"400",1617,0.000944197495973601
"401",1616,0.000954644629472438
"402",1615,0.000965147196162315
"403",1614,0.00098956943197463
"404",1613,0.00101424424190602
"405",1612,0.00103915992252823
"406",1611,0.00106430422316777
"407",1610,0.00108966435091896
"408",1609,0.00110558369440172
"409",1608,0.00112158140889783
"410",1607,0.00113765419830913
"411",1606,0.00115379868789178
