x,y,bp
-62.50839951649232,10.49040898282027,4023
-62.426230019827436,10.488771826223818,4012
-62.34405909318623,10.487189223550164,4012
-68.58623451918415,10.662518668123198,3968
-68.50426028030837,10.656842053950028,3986
-68.42228104937,10.651220116637981,4055
-68.34029687398642,10.645652853186288,4055
-68.25830780179238,10.64014026062615,4066
-68.17631388043984,10.634682336020427,4066
-68.09431515759769,10.629279076463826,4066
-63.742768067324576,10.421067149654089,3863
-63.66058125866694,10.418612340902868,3863
-63.578392291657835,10.416212084313495,3863
-63.496201214653176,10.413866378655381,3931
-63.41400807601636,10.411575222726627,3931
-63.33181292411802,10.409338615353647,3954
-63.249615807335985,10.40715655539139,3965
-63.16741677405495,10.40502904172303,4009
-63.08521587266645,10.4029560732603,4082
-63.00301315156859,10.400937648943092,4082
-62.92080865916591,10.398973767739692,4082
-62.838602443869256,10.39706442864654,4066
-62.75639455409553,10.395209630688395,4066
-62.67418503826753,10.393409372918189,4066
-68.59089028476583,10.562082177439542,3968
-68.50887178110604,10.556407377723001,3986
-68.42684827727437,10.55078723636776,4055
-68.34481982096494,10.545221750403565,4055
-68.26278645988924,10.539710916891465,4066
-68.18074824177597,10.534254732924468,4066
-68.09870521437094,10.52885319562677,4066
-63.4981001530531,10.313508385498219,3931
-63.41586239342156,10.311217943290298,3931
-63.333622617246405,10.308982032461,3954
-63.25138087298422,10.306800651877184,3954
-63.169137209098494,10.304673800433886,4038
-63.08689167405954,10.302601477054004,4082
-63.00464431634428,10.300583680688732,4082
-62.92239518443611,10.298620410317092,4082
-62.84014432682472,10.296711664946184,4066
-62.75789179200584,10.294857443610875,4066
-62.675637628481226,10.293057745374139,4066
-62.59338188475834,10.291312569326683,4047
-62.51112460935028,10.289621914587194,4047
-61.85301708870023,10.278059347166169,4038
-61.77074821205279,10.276859349121155,4038
-61.688478289121065,10.275713865097362,4038
-61.52393549866158,10.273586436835608,3997
-61.44166272827089,10.272604491527476,3997
-61.359389105869724,10.271677058100492,3997
-68.59555109900518,10.46173219827163,3968
-68.51348828288384,10.456059193288342,3968
-68.4314204584638,10.450440828359552,3968
-68.2672699758289,10.439368006936942,4066
-68.18518741320815,10.433913544657058,4066
-68.10310003347655,10.428513710859349,4066
-63.33543427921432,10.208711084467573,3954
-63.253147859007704,10.206530375733744,4005
