1748,0.000308066560592241
1747,0.000333158603031846
1746,0.000359849946292617
1745,0.00038820023094141
1744,0.000402541748557078
1743,0.000417311290598907
1742,0.000432516567959228
1741,0.000448165181813067
1740,0.000464264608659459
1739,0.000476056471888633
1738,0.000488122290272203
1737,0.000500466208876247
1736,0.000513092316519457
1735,0.000526004638661015
1734,0.000540902230626717
1733,0.000556121447195654
1732,0.000571664236219177
1731,0.000587532325381422
1730,0.000603727213321279
1729,0.000619722253430854
1728,0.000636017237022739
1727,0.000652613371788434
1726,0.000669511707403513
1725,0.000686713130704758
1724,0.000703645982561185
1723,0.000720871223729709
1722,0.000738389959394699
1721,0.000756203167023108
1720,0.00077431169257403
1719,0.000794674115739384
1718,0.000815467742774317
1717,0.000836695604972838
1716,0.000858360430297086
1715,0.000880464627136198
1714,0.000904497887957212
1713,0.000928945335504318
1712,0.000953804963806165
1711,0.00097907437800859
1710,0.00100475078731401
1709,0.00105677384687416
1708,0.00111037529856383
1707,0.00116552548443609
1706,0.00122218863458055
1705,0.00128032272824246
1704,0.00138627743815248
1703,0.00149664382788654
1702,0.00161109407312262
1701,0.00172923523196012
1700,0.00185060890423842
1699,0.00194964230340516
1698,0.00205013566933986
1697,0.00215176828743301
1696,0.00225419536761611
1695,0.00235704951587681
1694,0.0023878602380001
1693,0.00241857296915898
1692,0.00244917170262255
1691,0.00247964034938437
1690,0.00250996275727878
1689,0.00250983503086867
1688,0.00250970508533479
1687,0.00250957290482577
1686,0.00250943847335942
1685,0.00250930177482611
1684,0.00250436984601761
1683,0.0024994261701251
1682,0.00249447097706693
1681,0.0024895044971345
1680,0.00248452696096172
1679,0.00247964034938437
1678,0.00247473050930459
1677,0.00246979824106836
1676,0.00246484434614809
1675,0.00245986962677953
1674,0.00245979518388606
1673,0.00245971916861459
1672,0.00245964156508471
1671,0.00245956235723126
1670,0.00245948152880761
1669,0.00244924735739866
1668,0.00243900857774179
1667,0.00242876560449721
1666,0.00241851885083065
1665,0.00240826872838767
1664,0.00238263137129362
1663,0.00235698188253562
1662,0.00233132656271831
1661,0.00230567164634816
1660,0.00228002329955384
1659,0.00224408359823464
1658,0.00220814320543334
1657,0.00217222045244902
1656,0.00213633339245361
1655,0.00210049978460625
1654,0.00206518579635094
1653,0.00203007481723732
1652,0.0019951820260434
1651,0.00196052200269482
1650,0.00192610872491656
1649,0.00189662729031619
1648,0.0018673160407246
1647,0.00183818247989886
1646,0.00180923386225139
1645,0.00178047719234394
1644,0.00176564921500186
1643,0.00175085224972157
1642,0.00173608783788849
1641,0.00172135750229212
1640,0.00170666274679281
1639,0.00170118034667737
1638,0.00169571219734592
1637,0.00169025901903616
1636,0.00168482152332508
1635,0.00167940041287751
1634,0.00169436899176669
1633,0.0017093801007653
